Header of File
1;54;37;2023-06-07;952.34;Setubal;Portugal
3;77;45;2023-10-15;124.89;Luanda;Angola
4;88;89;2023-01-22;299.99;Lagos;Nigeria
5;30;78;2023-03-14;543.21;New Castle;England
6;2;3;2024-05-21;875.34;Nanjing;China
7;11;56;2023-11-04;432.1;Sochi;Russia
8;25;34;2024-01-19;764.32;Lviv;Ukraine
9;66;79;2023-02-11;199.95;Nairobi;Kenya
10;34;56;2024-05-21;875.34;Yanam;India
11;1;1;2024-05-21;875.34;Porto;Portugal
12;2;3;2024-05-21;875.34;Sao Paulo;Brazil
13;12;78;2024-02-14;489.22;Bahia;Brazil
14;23;12;2023-04-21;348.67;Quebec;Canada
15;77;45;2023-10-15;124.89;Luanda;Angola
16;15;67;2023-09-11;678.45;Lisbon;Portugal
17;88;89;2023-01-22;299.99;Lagos;Nigeria
18;30;78;2023-03-14;543.21;New Castle;England
20;11;56;2023-11-04;432.1;Sochi;Russia
21;25;34;2024-01-19;764.32;Lviv;Ukraine
22;66;79;2023-02-11;199.95;Nairobi;Kenya
24;1;1;2024-05-21;875.34;Porto;Portugal
25;2;3;2024-05-21;875.34;Sao Paulo;Brazil
26;12;78;2024-02-14;489.22;Bahia;Brazil
27;15;67;2023-09-11;678.45;Lisbon;Portugal
28;88;89;2023-01-22;299.99;Nice;France
29;30;78;2023-03-14;543.21;New Castle;England
33;77;45;2023-10-15;124.89;Luanda;Angola
34;15;67;2023-09-11;678.45;Lisbon;Portugal
35;88;89;2023-01-22;299.99;Lagos;Nigeria
36;30;78;2023-03-14;543.21;New Castle;England
38;11;56;2023-11-04;432.1;Sochi;Russia
39;25;34;2024-01-19;764.32;Lviv;Ukraine
40;66;79;2023-02-11;199.95;Nairobi;Kenya
42;1;1;2024-05-21;875.34;Porto;Portugal
43;2;3;2024-05-21;875.34;Sao Paulo;Brazil
44;12;78;2024-02-14;489.22;Bahia;Brazil
46;77;45;2023-10-15;124.89;Luanda;Angola
47;15;67;2023-09-11;678.45;Lisbon;Portugal
48;88;89;2023-01-22;299.99;Lagos;Nigeria
49;30;78;2023-03-14;543.21;New Castle;England
51;11;56;2023-11-04;432.1;Sochi;Russia
52;25;34;2024-01-19;764.32;Lviv;Ukraine
53;66;79;2023-02-11;199.95;Nairobi;Kenya
55;1;1;2024-05-21;875.34;Porto;Portugal
56;2;3;2024-05-21;875.34;Sao Paulo;Brazil
57;12;78;2024-02-14;489.22;Bahia;Brazil
58;34;56;2024-05-21;875.34;Yanam;India
59;15;67;2023-09-11;678.45;Lisbon;Portugal
60;88;89;2023-01-22;299.99;Lagos;Nigeria
61;30;78;2023-03-14;543.21;New Castle;England
65;77;45;2023-10-15;124.89;Luanda;Angola
66;15;67;2023-09-11;678.45;Lisbon;Portugal
67;88;89;2023-01-22;299.99;Lagos;Nigeria
68;30;78;2023-03-14;543.21;New Castle;England
70;11;56;2023-11-04;432.1;Sochi;Russia
71;25;34;2024-01-19;764.32;Lviv;Ukraine
72;66;79;2023-02-11;199.95;Nairobi;Kenya
74;1;1;2024-05-21;875.34;Porto;Portugal
75;2;3;2024-05-21;875.34;Sao Paulo;Brazil
76;12;78;2024-02-14;489.22;Bahia;Brazil
78;77;45;2023-10-15;124.89;Luanda;Angola
79;15;67;2023-09-11;678.45;Lisbon;Portugal
80;88;89;2023-01-22;299.99;Lagos;Nigeria
81;30;78;2023-03-14;543.21;New Castle;England
83;11;56;2023-11-04;432.1;Sochi;Russia
84;25;34;2024-01-19;764.32;Lviv;Ukraine
85;66;79;2023-02-11;199.95;Nairobi;Kenya
87;1;1;2024-05-21;875.34;Porto;Portugal
88;2;3;2024-05-21;875.34;Sao Paulo;Brazil
89;12;78;2024-02-14;489.22;Bahia;Brazil
90;15;67;2023-09-11;678.45;Lisbon;Portugal
91;88;89;2023-01-22;299.99;Lagos;Nigeria
92;30;78;2023-03-14;543.21;New Castle;England
96;77;45;2023-10-15;124.89;Luanda;Angola
97;15;67;2023-09-11;678.45;Lisbon;Portugal
98;88;89;2023-01-22;299.99;Lagos;Nigeria
99;30;78;2023-03-14;543.21;New Castle;England
101;11;56;2023-11-04;432.1;Sochi;Russia
102;25;34;2024-01-19;764.32;Lviv;Ukraine
103;66;79;2023-02-11;199.95;Nairobi;Kenya
105;1;1;2024-05-21;875.34;Porto;Portugal
106;2;3;2024-05-21;875.34;Sao Paulo;Brazil
107;12;78;2024-02-14;489.22;Bahia;Brazil
109;77;45;2023-10-15;124.89;Luanda;Angola
110;15;67;2023-09-11;678.45;Lisbon;Portugal
111;88;89;2023-01-22;299.99;Lagos;Nigeria
112;30;78;2023-03-14;543.21;New Castle;England
114;11;56;2023-11-04;432.1;Sochi;Russia
115;25;34;2024-01-19;764.32;Lviv;Ukraine
116;66;79;2023-02-11;199.95;Nairobi;Kenya
118;1;1;2024-05-21;875.34;Porto;Portugal
